"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée Saint-Exupery,Auvergne-Rhône-Alpes,BTS - Services - Professions immobilières,50.0
Public,Lycée Edgar Quinet,Auvergne-Rhône-Alpes,CPGE - ECG,100.0
Public,Lycée Edgar Quinet,Auvergne-Rhône-Alpes,CPGE - ECG,100.0
Public,Lycée Joseph-Marie Carriat,Auvergne-Rhône-Alpes,BTS - Production - Bâtiment,17.0
Public,Lycée Arbez Carme,Auvergne-Rhône-Alpes,BTS - Production - Conception de produits industriels,5.0
Public,Lycée Arbez Carme,Auvergne-Rhône-Alpes,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),3.0
Privé sous contrat d'association,IFSI Orsac - Cpa,Auvergne-Rhône-Alpes,D.E Infirmier,48.0
Public,IUT Lyon1 Site de Bourg-en-Bresse,Auvergne-Rhône-Alpes,BUT - Métiers de la Transition et de l'Efficacité Énergétiques,67.0
Public,IUT Lyon1 Site de Bourg-en-Bresse,Auvergne-Rhône-Alpes,Licence - Parcours d'Accès Spécifique Santé (PASS),98.0
Public,IUT Lyon1 Site de Bourg-en-Bresse,Auvergne-Rhône-Alpes,Licence - Parcours d'Accès Spécifique Santé (PASS),95.0
Privé sous contrat d'association,ENSEIS - Ecole de formation sanitaire et sociale,Auvergne-Rhône-Alpes,D.E Assistant de Service Social,44.0
Public,Lycée professionnel Jean Monnet,Hauts-de-France,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,20.0
Public,Lycée Pierre Méchain,Hauts-de-France,BTS - Production - Conception de produits industriels,6.0
Public,Lycée Pierre de La Ramee,Hauts-de-France,CPGE - PCSI,98.0
Public,Lycée Condorcet,Hauts-de-France,BTS - Services - Comptabilité et gestion,38.0
Public,Lycée Condorcet,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,17.0
Public,Lycée Gérard de Nerval,Hauts-de-France,BTS - Services - Support à l'action managériale,25.0
Public,Lycée Gérard de Nerval,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,33.0
Public,Lycée agricole et viticole de Crézancy,Hauts-de-France,BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie,31.0
Privé sous contrat d'association,Lycée Robert SCHUMAN,Hauts-de-France,BTS - Agricole - Gestion et protection de la nature,54.0
Privé sous contrat d'association,Lycée professionnel Saint Charles,Hauts-de-France,FCIL - Préparation aux concours des métiers de la sécurité,43.0
Public,IUT de l'Aisne - Site de Soissons-Cuffies,Hauts-de-France,"BUT - Qualité, logistique industrielle et organisation",62.0
Public,IUT de l'Aisne - Site de Saint-Quentin,Hauts-de-France,BUT - Génie mécanique et productique,67.0
Public,Lycée des Métiers le Corbusier de Soissons,Hauts-de-France,Mise à niveau - Hôtellerie restauration,77.0
Public,Université d'Amiens - Antenne de Soissons,Hauts-de-France,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - PORTAIL 1ere ANNEE STAPS CUFFIES (éducation et motricité),82.0
Privé sous contrat d'association,Lycée des métiers Saint Vincent de Paul,Hauts-de-France,DN MADE - Graphisme - Spécialité : Identité et espace,52.0
Privé sous contrat d'association,APRADIS - Site Laon,Hauts-de-France,D.E Assistant de Service Social,46.0
Public,Lycée Madame De Stael,Auvergne-Rhône-Alpes,CPGE - ECG -  - Mathématiques appliquées + ESH,100.0
Public,Lycée Paul Constans,Auvergne-Rhône-Alpes,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",12.0
Public,Lycée Polyvalent Jean Monnet,Auvergne-Rhône-Alpes,DN MADE - Objet - Spécialité : designer produit,52.0
